first_node_id,second_node_id,first_frame_id,second_frame_id,frame_gap,position_distance
88,247,2640,7410,4770,0.31610501570646304
4,323,120,9690,9570,0.31634706311673816
43,209,1290,6270,4980,0.3165197211990456
14,164,420,4920,4500,0.3168275616706415
6,323,180,9690,9510,0.3169660483113654
58,224,1740,6720,4980,0.31721560992926784
103,260,3090,7800,4710,0.3173579584201687
81,220,2430,6600,4170,0.31748397295768205
48,214,1440,6420,4980,0.3179643597056279
106,216,3180,6480,3300,0.3179890433678666
11,319,330,9570,9240,0.3180762721297816
87,246,2610,7380,4770,0.31868184953220197
157,300,4710,9000,4290,0.3187874146468501
299,311,8970,9330,360,0.3188315544656331
104,261,3120,7830,4710,0.31901442132054286
116,137,3480,4110,630,0.3193386303613656
52,218,1560,6540,4980,0.31970906465463894
88,246,2640,7380,4740,0.3209054723220158
98,253,2940,7590,4650,0.32091845504993066
20,145,600,4350,3750,0.32100388398519464
107,216,3210,6480,3270,0.3210626730263665
35,203,1050,6090,5040,0.3213890085979068
159,188,4770,5640,870,0.3214509949518395
57,223,1710,6690,4980,0.3215649301936576
0,322,0,9660,9660,0.3215739294886412
158,312,4740,9360,4620,0.3218758756168247
41,207,1230,6210,4980,0.32210919626283596
91,249,2730,7470,4740,0.32213403088096304
17,187,510,5610,5100,0.3222534793013811
52,85,1560,2550,990,0.3226070287987034
44,210,1320,6300,4980,0.322703400779996
108,265,3240,7950,4710,0.3228216668811703
157,302,4710,9060,4350,0.3228825731889508
149,309,4470,9270,4800,0.32294316003475343
13,165,390,4950,4560,0.3231842092889053
85,243,2550,7290,4740,0.32334600814720205
87,105,2610,3150,540,0.3236925782958365
121,288,3630,8640,5010,0.32411323722702734
25,194,750,5820,5070,0.32431279907908583
147,309,4410,9270,4860,0.3243864276878164
142,190,4260,5700,1440,0.32551219742139
162,184,4860,5520,660,0.32573058611792516
71,232,2130,6960,4830,0.3261698680767166
167,320,5010,9600,4590,0.32634963422559676
145,188,4350,5640,1290,0.326484413903655
105,261,3150,7830,4680,0.3265741367880978
8,322,240,9660,9420,0.32704929652653464
54,241,1620,7230,5610,0.32716293964732734
47,214,1410,6420,5010,0.327211571499854
72,233,2160,6990,4830,0.32849919260874616
16,160,480,4800,4320,0.3289741111060074
